fipsState,fipsCounty,zip
72,125,00683
72,79,00683
72,23,00683
72,97,00683
72,121,00683
72,127,00923
25,13,01010
25,27,01010
25,3,01257
25,3,01267
25,11,01331
25,27,01331
25,15,01339
25,11,01339
25,17,01469
25,21,02027
25,25,02120
25,25,02128
25,25,02199
25,23,02361
25,1,02664
25,1,02668
25,1,02648
25,23,02739
44,7,02895
33,11,03281
33,13,03281
33,19,03743
33,7,03592
33,19,03605
33,3,03886
33,17,03884
33,15,03884
23,23,04357
23,11,04357
23,29,04649
23,9,04627
23,23,04562
23,27,04921
23,19,04921
23,23,04548
50,17,05038
50,13,05474
50,17,05679
50,23,05651
50,21,05763
50,21,05738
50,19,05874
90,13,06042
90,3,06042
90,3,06052
90,5,06010
90,3,06010
50,9,05905
90,3,06060
90,3,06078
90,3,06108
90,1,06468
90,5,06787
90,1,06880
90,1,06907
34,3,07010
34,31,07110
34,13,07110
34,37,07462
34,3,07645
34,3,07607
34,25,07758
34,27,07849
34,37,07849
34,5,08046
34,7,08099
34,1,08401
34,19,08559
34,23,08820
34,39,08820
34,35,08880
36,61,10005
36,61,10004
36,61,10038
36,61,10110
36,47,11210
36,81,11354
36,81,11358
36,81,11352
36,81,11375
36,59,11553
36,103,11716
36,59,11756
36,103,11950
36,119,10537
36,79,10537
36,119,10595
36,71,10916
36,87,10952
36,21,12037
36,83,12180
36,41,12139
36,57,12086
36,35,12086
36,91,12086
36,21,12115
36,93,12066
36,57,12066
36,95,12066
36,1,12205
36,25,12474
36,105,12786
36,113,12845
36,115,12832
36,31,12944
36,19,12944
36,33,12989
36,31,12989
36,65,13478
36,7,13761
36,29,14086
36,29,14212
36,69,14560
36,51,14560
36,69,14513
36,117,14513
36,55,14616
36,55,14621
36,15,14903
42,3,15076
42,3,15139
42,3,15222
42,3,15225
42,3,15214
42,51,15442
42,59,15344
42,111,15563
42,3,15642
42,129,15642
42,63,15771
42,63,15681
42,129,15681
42,5,15681
42,21,15943
42,73,16120
42,7,16120
42,7,16115
42,27,16827
42,99,17024
42,43,17020
42,99,17020
42,41,17065
42,55,17201
42,71,17560
42,11,17569
42,71,17569
42,81,17702
42,119,17845
42,107,17961
42,95,18072
42,11,18070
42,91,18070
42,17,18902
42,17,18912
42,45,19061
42,101,19138
42,101,19153
42,45,19153
42,91,19150
42,101,19150
42,17,19440
42,91,19440
10,1,19938
10,3,19938
11,1,20019
24,17,20693
24,9,20676
24,3,20764
24,31,20818
24,27,21044
24,25,21050
24,510,21218
24,3,21403
24,1,21555
24,13,21797
24,31,21797
24,27,21797
24,27,21784
24,13,21784
24,45,21801
51,59,22015
51,510,22313
51,59,22307
51,133,22432
51,113,22727
51,165,22812
51,15,22812
51,171,22824
51,165,22830
51,65,22974
51,109,22974
51,3,22974
51,3,22959
51,650,23607
51,700,23607
51,740,23701
51,700,23666
51,650,23666
51,29,23936
51,49,23936
51,770,24013
51,37,23976
51,19,24104
51,169,24245
51,185,24314
51,21,24314
51,680,24505
51,185,24651
54,55,24715
37,57,27292
37,151,27292
37,101,27529
37,183,27529
37,191,27532
37,95,27824
37,131,27832
37,127,27801
37,65,27801
37,69,27882
37,127,27882
37,83,27870
37,25,28082
37,7,28133
37,179,28133
37,109,28164
37,71,28164
37,119,28282
37,51,28311
37,165,28343
37,21,28728
37,9,28693
37,35,28650
37,109,28650
37,47,28432
37,19,28420
37,121,28777
37,199,28777
37,11,28777
37,111,28777
37,87,28786
37,161,28746
37,149,28746
37,87,28745
45,75,29133
45,81,29105
45,3,29105
45,65,29620
45,1,29620
45,37,29845
45,65,29845
45,67,29565
45,69,29565
45,33,29565
45,41,29530
45,33,29547
45,89,29580
45,19,29403
45,87,29372
45,21,29372
45,83,29372
45,35,29437
45,79,29223
45,63,29210
45,79,29210
45,59,29325
45,85,29168
45,29,29481
45,9,29481
45,35,29456
45,19,29456
45,15,29456
45,15,29453
45,19,29453
45,13,29935
45,49,29918
45,49,29924
13,45,30185
13,97,30185
13,121,30309
13,121,30312
13,223,30132
13,15,30132
13,89,30035
13,151,30223
13,255,30223
13,35,30223
13,151,30228
13,63,30228
13,255,30228
13,129,30703
13,147,30635
13,105,30635
13,221,30630
13,11,30521
13,119,30521
13,175,30411
13,309,30411
12,89,32046
13,243,39846
13,61,39846
13,37,39846
13,37,39866
13,243,39866
13,145,31823
13,185,31699
13,95,31703
13,321,31791
13,95,31791
13,321,31744
13,71,31744
